Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
17/10/2018,11:00,18.7,18.7,18.4,74,13.5,8.0,NE,24.1,NE,969.1,0.0,0.0,296
17/10/2018,11:30,19.4,19.4,18.7,70,13.4,6.4,NNE,17.7,ENE,969.1,0.0,0.0,342
17/10/2018,12:00,20.2,20.2,19.4,69,14.0,4.8,NE,20.9,NNE,968.8,0.0,0.0,353
17/10/2018,12:30,20.1,20.4,20.1,68,13.7,6.4,SSE,24.1,ESE,968.7,0.0,0.0,237
17/10/2018,13:00,20.7,20.7,19.8,68,14.3,6.4,SE,22.5,SSE,968.4,0.0,0.0,432
17/10/2018,13:30,22.2,22.2,20.7,62,14.6,4.8,SSE,17.7,SE,968.2,0.0,0.0,564
17/10/2018,14:00,20.8,22.2,20.7,66,14.0,6.4,NE,19.3,NNE,967.9,0.0,0.0,388
17/10/2018,14:30,21.8,21.8,20.8,63,14.4,4.8,NE,17.7,NE,967.6,0.0,0.0,540
17/10/2018,15:00,21.6,21.8,21.3,64,14.4,6.4,ENE,16.1,ENE,967.2,0.0,0.0,486
17/10/2018,15:30,21.1,21.8,20.8,66,14.3,4.8,NNE,19.3,NE,967.2,0.0,0.0,388
17/10/2018,16:00,20.9,21.3,20.9,67,14.3,4.8,NNW,16.1,WNW,967.1,0.0,0.0,328
17/10/2018,16:30,19.6,20.9,19.6,73,14.2,8.0,NE,24.1,N,967.1,0.0,0.0,148
17/10/2018,17:00,18.2,19.6,18.2,78,13.8,12.9,NE,24.1,NNE,967.2,0.0,0.0,78
17/10/2018,17:30,17.5,18.2,17.5,80,13.5,14.5,NE,27.4,NNW,967.3,0.0,0.0,31
17/10/2018,18:00,17.1,17.5,17.1,82,13.5,16.1,NE,25.7,NE,967.2,0.0,0.0,10
17/10/2018,18:30,16.5,17.1,16.5,85,13.5,17.7,NE,30.6,NE,967.3,0.0,0.0,0
17/10/2018,19:00,16.5,16.5,16.4,84,13.3,16.1,NE,33.8,ENE,967.4,0.0,0.0,0
17/10/2018,19:30,16.4,16.5,16.4,85,13.4,9.7,NE,24.1,NE,967.8,0.0,0.0,0
17/10/2018,20:00,16.6,16.7,16.4,84,13.4,12.9,NNE,24.1,NE,967.8,0.0,0.0,0
17/10/2018,20:30,16.3,16.6,16.3,85,13.3,11.3,NE,24.1,NE,967.9,0.0,0.0,0
17/10/2018,21:00,16.2,16.3,16.2,86,13.4,8.0,NE,20.9,N,968.2,0.0,0.0,0
17/10/2018,21:30,16.2,16.2,16.1,86,13.4,3.2,NNW,14.5,N,968.3,0.0,0.0,0
17/10/2018,22:00,16.6,16.6,16.2,83,13.2,3.2,NE,11.3,NNE,968.3,0.0,0.0,0
17/10/2018,22:30,16.7,16.7,16.6,83,13.3,8.0,NE,24.1,E,968.0,0.0,0.0,0
17/10/2018,23:00,16.2,16.7,16.2,84,13.0,6.4,NE,19.3,ENE,968.3,0.0,0.0,0
17/10/2018,23:30,16.1,16.2,16.1,85,13.1,6.4,NE,20.9,NNE,968.1,0.0,0.0,0
18/10/2018,0:00,15.9,16.1,15.9,86,13.1,9.7,NE,19.3,ENE,967.9,0.0,0.0,0
18/10/2018,0:30,16.0,16.1,15.9,85,13.0,8.0,NE,17.7,NNE,967.7,0.0,0.0,0
18/10/2018,1:00,16.1,16.1,16.0,85,13.1,6.4,NE,14.5,NE,967.7,0.0,0.0,0
18/10/2018,1:30,16.0,16.1,16.0,86,13.2,6.4,NNE,19.3,NNE,967.5,0.0,0.0,0
18/10/2018,2:00,15.9,16.0,15.9,85,12.9,8.0,NE,16.1,N,967.6,0.0,0.0,0
18/10/2018,2:30,16.0,16.1,15.9,85,13.0,9.7,NNE,20.9,N,967.4,0.0,0.0,0
18/10/2018,3:00,15.8,16.0,15.8,86,13.0,9.7,NE,20.9,ENE,967.2,0.0,0.0,0
18/10/2018,3:30,15.7,15.8,15.7,86,12.9,11.3,NE,19.3,NNE,966.9,0.0,0.0,0
18/10/2018,4:00,15.6,15.7,15.6,86,12.8,12.9,NE,22.5,NNE,966.7,0.0,0.0,0
18/10/2018,4:30,15.6,15.6,15.6,86,12.8,12.9,NE,22.5,N,966.5,0.0,0.0,0
18/10/2018,5:00,15.5,15.6,15.5,86,12.7,11.3,NNE,27.4,NNE,966.5,0.0,0.0,0
18/10/2018,5:30,15.6,15.6,15.4,86,12.8,9.7,NNE,24.1,NNW,966.4,0.0,0.0,0
18/10/2018,6:00,15.7,15.7,15.5,85,12.7,11.3,NNE,25.7,NNE,966.5,0.0,0.0,0
18/10/2018,6:30,15.6,15.7,15.6,85,12.6,6.4,NNE,17.7,NW,966.3,0.0,0.0,0
18/10/2018,7:00,15.6,15.6,15.6,85,12.6,4.8,NNE,16.1,NE,966.4,0.0,0.0,0
18/10/2018,7:30,15.6,15.6,15.5,85,12.6,6.4,NNE,19.3,NE,966.5,0.0,0.0,5
18/10/2018,8:00,15.6,15.7,15.6,84,12.4,4.8,NNE,14.5,N,966.6,0.0,0.0,30
18/10/2018,8:30,16.0,16.0,15.6,83,12.6,1.6,E,14.5,ENE,966.8,0.0,0.0,60
18/10/2018,9:00,16.6,16.6,16.0,79,12.4,3.2,SE,11.3,E,966.8,0.0,0.0,116
18/10/2018,9:30,17.4,17.4,16.6,77,12.8,1.6,SE,9.7,SE,966.7,0.0,0.0,163
18/10/2018,10:00,18.1,18.1,17.4,72,12.5,3.2,NW,16.1,NW,966.7,0.0,0.0,292
18/10/2018,10:30,19.1,19.1,18.1,69,12.9,3.2,E,16.1,ENE,966.8,0.0,0.0,403
18/10/2018,11:00,20.2,20.3,19.1,65,13.2,3.2,SSW,16.1,E,966.6,0.0,0.0,467
18/10/2018,11:30,20.0,20.2,19.7,66,13.2,4.8,E,19.3,NNE,966.7,0.0,0.0,517
