Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
1/5/2024,0:00,16.4,17.2,16.4,58,8.0,3.2,NE,11.3,ENE,963.6,0.0,0.0,0
1/5/2024,0:30,15.9,16.5,15.9,61,8.1,1.6,SSW,6.4,S,963.6,0.0,0.0,0
1/5/2024,1:00,16.4,16.4,15.7,57,7.8,3.2,NNE,14.5,ENE,963.1,0.0,0.0,0
1/5/2024,1:30,15.8,16.4,15.8,61,8.0,1.6,N,6.4,ENE,962.8,0.0,0.0,0
1/5/2024,2:00,15.3,15.8,15.3,62,7.7,1.6,NNE,4.8,N,962.3,0.0,0.0,0
1/5/2024,2:30,15.1,15.3,15.1,63,7.7,1.6,ESE,4.8,ENE,962.0,0.0,0.0,0
1/5/2024,3:00,15.1,15.1,14.9,64,7.9,1.6,N,6.4,NW,961.6,0.0,0.0,0
1/5/2024,3:30,14.6,15.1,14.6,65,7.6,0.0,S,6.4,S,961.3,0.0,0.0,0
1/5/2024,4:00,14.3,14.6,14.2,66,7.5,1.6,NNE,8.0,S,960.8,0.0,0.0,0
1/5/2024,4:30,14.4,14.6,14.3,65,7.4,0.0,SSE,4.8,S,960.6,0.0,0.0,0
1/5/2024,5:00,14.4,14.6,14.4,65,7.4,1.6,NE,8.0,E,960.5,0.0,0.0,0
1/5/2024,5:30,14.6,14.6,14.4,65,7.6,0.0,N,6.4,NNE,960.2,0.0,0.0,0
1/5/2024,6:00,14.3,14.7,14.3,67,7.7,1.6,SSW,6.4,SSW,960.1,0.0,0.0,0
1/5/2024,6:30,14.4,14.4,14.2,65,7.4,1.6,NE,6.4,SSW,960.0,0.0,0.0,21
1/5/2024,7:00,14.7,14.7,14.4,66,7.9,1.6,S,6.4,S,959.7,0.0,0.0,26
1/5/2024,7:30,14.9,15.0,14.6,64,7.7,0.0,SW,3.2,SW,959.8,0.0,0.0,66
1/5/2024,8:30,18.4,18.5,14.9,62,10.8,0.0,SW,4.8,SSW,959.2,0.0,0.0,188
1/5/2024,9:00,18.2,18.8,18.2,61,10.4,0.0,S,3.2,WSW,959.2,0.0,0.0,198
1/5/2024,9:30,17.8,18.2,17.8,60,9.8,1.6,SSW,4.8,SSW,959.1,0.0,0.0,123
1/5/2024,10:00,18.5,18.5,17.8,56,9.7,0.0,W,4.8,SSW,959.0,0.0,0.0,211
1/5/2024,10:30,18.4,18.5,18.3,58,10.0,1.6,SSW,8.0,SSW,959.0,0.0,0.0,179
1/5/2024,11:00,18.4,18.6,18.4,59,10.2,0.0,SSW,1.6,SSW,958.7,0.0,0.0,141
1/5/2024,11:30,18.8,18.9,18.4,56,10.0,1.6,SSW,4.8,SSW,958.5,0.0,0.0,200
1/5/2024,12:00,18.4,18.8,18.4,63,11.0,1.6,WSW,8.0,WNW,958.5,0.0,0.0,225
1/5/2024,12:30,19.1,19.1,18.4,58,10.7,3.2,WNW,6.4,W,958.2,0.0,0.0,380
1/5/2024,13:00,20.2,20.2,19.1,56,11.4,3.2,WSW,12.9,NW,957.5,0.0,0.0,658
1/5/2024,13:30,19.3,20.2,19.3,58,10.9,3.2,WSW,9.7,WNW,957.4,0.0,0.0,251
1/5/2024,14:00,19.2,19.3,19.2,58,10.8,1.6,WNW,8.0,WNW,957.3,0.0,0.0,203
1/5/2024,14:30,17.8,19.2,17.8,74,12.6,3.2,SW,11.3,S,957.8,0.6,28.2,38
1/5/2024,15:00,14.7,17.8,14.7,82,11.1,4.8,S,20.9,S,958.1,3.0,28.2,40
1/5/2024,15:30,13.7,14.7,13.7,88,11.3,4.8,ESE,14.5,SE,957.7,2.2,6.4,38
1/5/2024,16:00,14.8,14.8,13.6,90,12.8,1.6,S,8.0,E,956.8,0.6,4.8,195
1/5/2024,16:30,15.6,15.6,14.8,83,12.2,3.2,SSW,8.0,S,956.7,0.0,0.0,286
1/5/2024,17:00,16.2,16.2,15.6,80,12.2,1.6,SSW,6.4,SSW,956.3,0.0,0.0,227
1/5/2024,17:30,16.1,16.3,16.1,69,9.9,1.6,SSW,9.7,NNE,956.1,0.0,0.0,151
1/5/2024,18:00,16.4,16.5,16.1,74,11.2,3.2,S,11.3,SE,956.3,0.0,0.0,114
1/5/2024,18:30,15.3,16.5,15.3,78,10.9,8.0,S,29.0,E,957.3,0.2,0.0,71
1/5/2024,19:00,14.0,15.3,14.0,81,10.2,9.7,S,27.4,ESE,957.4,0.2,0.8,62
1/5/2024,19:30,13.5,14.0,13.4,82,9.9,6.4,S,17.7,ESE,957.6,0.0,0.0,20
1/5/2024,20:00,13.1,13.5,13.1,83,9.7,9.7,SSE,25.7,S,957.7,0.0,0.0,10
1/5/2024,20:30,12.3,13.1,12.3,87,9.7,9.7,S,30.6,S,957.9,0.0,0.0,0
1/5/2024,21:00,11.9,12.3,11.9,90,9.9,8.0,SE,27.4,S,958.4,0.0,0.0,0
1/5/2024,21:30,11.6,11.9,11.6,91,9.8,9.7,S,27.4,S,959.0,0.6,1.4,0
1/5/2024,22:00,11.5,11.7,11.5,91,9.7,8.0,S,25.7,S,959.4,0.2,1.4,0
1/5/2024,22:30,11.4,11.6,11.3,92,9.8,8.0,S,22.5,S,959.8,1.0,2.2,0
1/5/2024,23:00,11.3,11.4,11.2,92,9.7,8.0,S,22.5,S,959.9,1.2,3.0,0
1/5/2024,23:30,11.2,11.3,11.2,92,9.6,4.8,S,17.7,S,960.0,0.4,1.8,0
2/5/2024,0:00,11.2,11.2,11.1,92,9.6,4.8,S,14.5,S,960.2,0.2,0.8,0
2/5/2024,0:30,11.2,11.2,11.1,93,9.8,3.2,ESE,12.9,ESE,960.4,0.0,0.0,0
2/5/2024,1:00,11.3,11.3,11.2,92,9.7,3.2,S,9.7,S,960.5,0.0,0.0,0
2/5/2024,1:30,11.2,11.3,11.2,92,9.6,3.2,SSW,16.1,SW,960.6,0.0,0.0,0
2/5/2024,2:00,11.0,11.2,11.0,92,9.4,3.2,ESE,9.7,SE,960.4,0.0,0.0,0
2/5/2024,2:30,11.1,11.2,11.0,93,9.7,3.2,SSW,11.3,ESE,960.5,0.2,0.0,0
2/5/2024,3:00,10.9,11.2,10.9,93,9.5,4.8,S,12.9,ENE,960.5,0.2,0.0,0
2/5/2024,3:30,10.7,10.9,10.7,93,9.3,4.8,SE,16.1,ENE,960.7,0.0,0.0,0
2/5/2024,4:00,10.9,10.9,10.7,92,9.3,3.2,ESE,11.3,ESE,960.4,0.0,0.0,0
2/5/2024,4:30,11.2,11.2,10.8,91,9.4,4.8,ENE,14.5,E,960.3,0.0,0.0,0
2/5/2024,5:00,11.4,11.4,11.2,92,9.8,3.2,ESE,14.5,NNE,960.2,0.0,0.0,0
