Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
1/1/2022,0:00,7.9,7.9,7.6,34,-5.3,0.0,ENE,8.0,E,978.2,0.0,0.0,0
1/1/2022,0:30,9.6,9.9,7.9,58,1.2,3.2,NE,12.9,NE,978.3,0.0,0.0,0
1/1/2022,1:00,7.8,9.6,7.8,49,-2.4,0.0,ENE,1.6,ENE,978.2,0.0,0.0,0
1/1/2022,1:30,7.2,7.8,7.2,39,-5.0,0.0,ENE,1.6,ENE,978.2,0.0,0.0,0
1/1/2022,2:00,6.8,7.2,6.8,36,-6.0,0.0,ENE,1.6,ENE,977.9,0.0,0.0,0
1/1/2022,2:30,7.6,7.6,6.7,28,-6.8,0.0,ENE,6.4,ENE,978.1,0.0,0.0,0
1/1/2022,3:00,7.2,7.6,7.2,38,-5.2,0.0,N,3.2,N,978.0,0.0,0.0,0
1/1/2022,3:30,6.8,7.2,6.8,32,-6.8,0.0,N,3.2,N,977.7,0.0,0.0,0
1/1/2022,4:00,7.0,7.0,6.8,27,-7.6,0.0,NE,3.2,NE,977.9,0.0,0.0,0
1/1/2022,4:30,6.9,7.2,6.9,31,-6.9,0.0,NE,3.2,NE,977.8,0.0,0.0,0
1/1/2022,5:00,6.3,6.8,6.3,29,-7.9,0.0,NE,3.2,NE,977.7,0.0,0.0,0
1/1/2022,5:30,6.0,6.3,6.0,23,-9.4,0.0,NE,3.2,NE,977.7,0.0,0.0,0
1/1/2022,6:00,5.8,6.2,5.8,23,-9.6,0.0,NE,0.0,NE,977.7,0.0,0.0,0
1/1/2022,6:30,5.4,5.8,5.4,20,-10.6,0.0,NE,0.0,NE,977.9,0.0,0.0,0
1/1/2022,7:00,5.1,5.5,5.1,18,-11.3,0.0,NE,0.0,NE,978.0,0.0,0.0,0
1/1/2022,7:30,5.1,5.2,5.1,15,-11.9,0.0,NE,0.0,NE,978.1,0.0,0.0,0
1/1/2022,8:00,4.6,5.1,4.6,17,-12.0,0.0,NE,0.0,NE,978.6,0.0,0.0,4
1/1/2022,8:30,6.0,6.0,4.5,6,-12.8,0.0,NE,1.6,NE,978.8,0.0,0.0,40
1/1/2022,9:00,7.8,7.8,6.1,33,-5.6,0.0,NE,1.6,NE,978.8,0.0,0.0,64
1/1/2022,9:30,9.8,9.8,7.7,51,0.0,0.0,NE,1.6,NE,978.9,0.0,0.0,123
1/1/2022,10:00,10.8,10.9,9.8,61,3.0,0.0,NE,0.0,NE,978.8,0.0,0.0,207
1/1/2022,10:30,10.3,10.8,10.2,58,1.9,0.0,S,4.8,SSE,979.0,0.0,0.0,281
1/1/2022,11:00,11.1,11.1,10.3,60,3.1,0.0,S,3.2,S,978.9,0.0,0.0,339
1/1/2022,11:30,12.2,12.2,11.1,60,4.2,0.0,S,3.2,S,979.0,0.0,0.0,382
