Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
1/3/2021,0:00,4.9,5.1,4.8,50,-5.1,19.3,NNE,32.2,N,981.0,0.0,0.0,0
1/3/2021,0:30,4.4,4.8,4.4,52,-5.2,17.7,NNE,30.6,ENE,981.0,0.0,0.0,0
1/3/2021,1:00,4.6,4.6,4.4,50,-5.4,19.3,NNE,29.0,NE,981.0,0.0,0.0,0
1/3/2021,1:30,4.8,4.9,4.6,50,-5.2,16.1,NNE,27.4,N,981.1,0.0,0.0,0
1/3/2021,2:00,4.6,4.8,4.6,54,-4.6,16.1,NE,29.0,NE,981.1,0.0,0.0,0
1/3/2021,2:30,4.7,4.7,4.6,55,-4.3,17.7,NE,29.0,ENE,981.0,0.0,0.0,0
1/3/2021,3:00,4.4,4.7,4.4,57,-4.2,16.1,NNE,30.6,NE,980.9,0.0,0.0,0
1/3/2021,3:30,4.4,4.4,4.3,57,-4.2,17.7,NE,29.0,NE,980.7,0.0,0.0,0
1/3/2021,4:00,4.7,4.7,4.4,55,-4.3,14.5,NE,27.4,NE,980.8,0.0,0.0,0
1/3/2021,4:30,4.7,4.7,4.5,56,-4.1,17.7,NE,29.0,NE,980.7,0.0,0.0,0
1/3/2021,5:00,4.4,4.7,4.4,57,-4.2,16.1,NNE,29.0,N,980.8,0.0,0.0,0
1/3/2021,5:30,4.7,4.7,4.4,55,-4.3,16.1,NNE,29.0,N,980.7,0.0,0.0,0
1/3/2021,6:00,4.6,4.7,4.4,57,-4.0,14.5,NNE,29.0,NNE,980.9,0.0,0.0,0
1/3/2021,6:30,4.4,4.6,4.4,59,-3.8,8.0,NNE,24.1,NNE,980.7,0.0,0.0,0
1/3/2021,7:00,4.3,4.4,4.3,59,-3.9,8.0,N,25.7,NNW,981.2,0.0,0.0,3
1/3/2021,7:30,4.7,4.7,4.4,59,-3.5,16.1,NNE,27.4,NNW,981.3,0.0,0.0,13
1/3/2021,8:00,5.0,5.0,4.6,57,-3.6,17.7,NE,29.0,NNE,981.5,0.0,0.0,21
1/3/2021,8:30,5.6,5.6,5.0,55,-3.4,16.1,NE,27.4,NNE,981.7,0.0,0.0,100
1/3/2021,9:00,6.2,6.2,5.6,53,-3.2,11.3,NNE,24.1,NE,981.9,0.0,0.0,149
1/3/2021,9:30,7.1,7.1,6.2,51,-2.7,11.3,NE,27.4,NNW,981.9,0.0,0.0,299
