Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
1/3/2022,0:00,1.8,1.8,1.4,56,-7.0,1.6,NW,12.9,NE,979.1,0.0,0.0,0
1/3/2022,0:30,1.2,1.9,1.2,54,-8.0,1.6,NNE,8.0,NNW,979.0,0.0,0.0,0
1/3/2022,1:00,1.1,1.2,0.5,49,-9.1,3.2,NNE,8.0,NNE,979.1,0.0,0.0,0
1/3/2022,1:30,1.3,1.3,1.1,48,-9.1,0.0,NNW,4.8,NNW,979.1,0.0,0.0,0
1/3/2022,2:00,1.0,1.3,0.9,45,-10.0,0.0,NW,8.0,NW,978.8,0.0,0.0,0
1/3/2022,2:30,1.3,1.3,0.9,41,-10.5,1.6,WSW,8.0,WNW,978.8,0.0,0.0,0
1/3/2022,3:00,1.3,1.4,1.3,42,-10.3,1.6,W,9.7,WSW,978.9,0.0,0.0,0
1/3/2022,3:30,1.1,1.3,1.1,46,-9.7,3.2,WSW,16.1,NNW,978.8,0.0,0.0,0
1/3/2022,4:00,0.9,1.1,0.9,57,-7.7,3.2,SSW,22.5,NNE,978.6,0.0,0.0,0
1/3/2022,4:30,0.9,0.9,0.8,55,-8.1,4.8,SSW,16.1,S,978.7,0.0,0.0,0
1/3/2022,5:00,0.7,1.0,0.7,55,-8.3,3.2,WNW,22.5,S,979.0,0.0,0.0,0
1/3/2022,5:30,0.8,0.8,0.7,56,-8.0,3.2,SW,20.9,W,978.9,0.0,0.0,0
1/3/2022,6:00,0.7,0.8,0.7,53,-8.7,3.2,WSW,17.7,S,979.0,0.0,0.0,0
1/3/2022,6:30,0.7,0.7,0.6,50,-9.3,3.2,WSW,19.3,SSW,979.0,0.0,0.0,0
1/3/2022,7:00,0.6,0.8,0.5,46,-10.2,3.2,SW,12.9,WNW,978.9,0.0,0.0,0
1/3/2022,7:30,0.5,0.6,0.4,41,-11.3,6.4,S,20.9,SSW,979.0,0.0,0.0,9
1/3/2022,8:00,0.6,0.6,0.4,39,-11.6,9.7,S,22.5,S,979.2,0.0,0.0,18
1/3/2022,8:30,0.8,0.8,0.6,37,-11.8,9.7,ESE,32.2,SE,979.3,0.0,0.0,30
1/3/2022,9:00,0.8,0.8,0.7,24,-14.4,9.7,ESE,30.6,NNE,979.5,0.0,0.0,53
1/3/2022,9:30,1.0,1.0,0.8,16,-15.8,8.0,WSW,35.4,E,979.7,0.0,0.0,77
1/3/2022,10:00,1.2,1.6,1.0,22,-14.4,6.4,SSW,25.7,E,980.0,0.0,0.0,111
1/3/2022,10:30,2.0,2.0,1.1,36,-10.8,8.0,ENE,30.6,NNE,980.0,0.0,0.0,196
1/3/2022,11:00,1.7,2.2,1.7,34,-11.5,6.4,E,35.4,E,980.1,0.0,0.0,78
1/3/2022,11:30,2.1,2.4,1.6,40,-9.9,6.4,SW,25.7,NE,980.0,0.0,0.0,104
1/3/2022,12:00,2.2,2.2,1.9,43,-9.2,6.4,S,27.4,ENE,980.1,0.0,0.0,79
1/3/2022,12:30,2.6,2.6,2.2,52,-7.0,4.8,WSW,22.5,NE,980.1,0.2,0.0,122
1/3/2022,13:00,3.1,3.1,2.6,57,-5.5,4.8,NW,19.3,N,979.5,0.0,0.0,147
1/3/2022,13:30,3.4,3.4,3.1,57,-5.2,4.8,NW,20.9,NNE,979.3,0.0,0.0,155
1/3/2022,14:00,4.4,4.4,3.4,56,-4.4,3.2,WNW,17.7,NW,978.9,0.0,0.0,281
1/3/2022,14:30,4.9,4.9,4.1,54,-4.3,4.8,NW,24.1,ENE,978.6,0.0,0.0,574
1/3/2022,15:00,5.5,5.5,4.9,52,-4.1,4.8,NW,24.1,NW,978.4,0.0,0.0,584
1/3/2022,15:30,3.4,5.6,3.4,52,-6.2,8.0,NNE,33.8,NE,978.3,0.0,0.0,264
1/3/2022,16:00,3.1,3.4,3.1,54,-6.1,9.7,ENE,29.0,N,978.1,0.0,0.0,76
1/3/2022,16:30,2.9,3.2,2.8,53,-6.5,8.0,ENE,33.8,SSW,978.2,0.0,0.0,71
1/3/2022,17:00,2.7,2.9,2.6,55,-6.3,8.0,ENE,29.0,E,978.3,0.0,0.0,39
1/3/2022,17:30,2.7,2.8,2.7,56,-6.1,8.0,ENE,38.6,NNE,978.3,0.0,0.0,34
1/3/2022,18:00,2.2,2.7,2.2,57,-6.4,8.0,NE,27.4,E,978.4,0.0,0.0,8
1/3/2022,18:30,1.8,2.2,1.8,57,-6.8,4.8,ENE,22.5,ENE,978.6,0.0,0.0,0
1/3/2022,19:00,1.6,1.8,1.6,57,-7.0,3.2,ENE,14.5,ENE,978.6,0.0,0.0,0
1/3/2022,19:30,1.7,1.7,1.5,57,-6.9,3.2,S,11.3,S,978.6,0.0,0.0,0
1/3/2022,20:00,1.6,1.7,1.6,57,-7.0,6.4,S,27.4,ENE,978.6,0.0,0.0,0
