Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
1/6/2023,0:00,16.7,16.8,16.7,73,11.3,9.7,NE,22.5,NE,967.4,0.0,0.0,0
1/6/2023,0:30,16.6,16.7,16.6,72,11.0,8.0,NNE,20.9,NE,967.3,0.0,0.0,0
1/6/2023,1:00,16.6,16.7,16.6,71,10.8,8.0,NNE,24.1,NNW,967.4,0.0,0.0,0
1/6/2023,1:30,16.4,16.6,16.4,71,10.6,6.4,NNE,22.5,NNE,967.3,0.0,0.0,0
1/6/2023,2:00,16.1,16.5,15.9,72,10.5,3.2,N,17.7,ENE,967.4,0.0,0.0,0
1/6/2023,2:30,16.3,16.3,16.1,69,10.1,6.4,NNE,20.9,ENE,967.2,0.0,0.0,0
1/6/2023,3:00,16.2,16.3,16.2,69,10.0,9.7,NNE,20.9,NE,967.1,0.0,0.0,0
1/6/2023,3:30,15.7,16.2,15.7,73,10.3,4.8,NNE,16.1,ENE,967.2,0.0,0.0,0
1/6/2023,4:00,14.8,15.7,14.7,77,10.2,1.6,SSW,8.0,S,967.1,0.0,0.0,0
1/6/2023,4:30,14.4,14.8,14.4,78,10.0,3.2,S,11.3,S,967.0,0.0,0.0,0
1/6/2023,5:00,14.3,14.4,14.2,78,9.9,3.2,S,9.7,S,967.0,0.0,0.0,0
1/6/2023,5:30,14.8,14.9,14.3,75,9.8,4.8,SE,16.1,ESE,967.1,0.0,0.0,0
1/6/2023,6:00,15.4,15.8,14.6,73,10.0,4.8,ENE,16.1,ESE,967.1,0.0,0.0,6
1/6/2023,6:30,14.6,15.4,14.5,77,10.0,1.6,S,8.0,S,967.1,0.0,0.0,19
1/6/2023,7:00,14.9,14.9,14.5,76,10.1,1.6,NNE,6.4,S,967.3,0.0,0.0,44
1/6/2023,7:30,15.3,15.3,14.9,77,10.7,1.6,SSW,6.4,S,967.3,0.0,0.0,81
1/6/2023,8:00,16.4,16.4,15.3,75,11.4,1.6,S,4.8,S,967.3,0.0,0.0,137
1/6/2023,8:30,17.9,17.9,16.4,71,12.1,1.6,S,8.0,SSW,967.4,0.0,0.0,186
1/6/2023,9:00,20.4,20.4,17.8,66,13.6,1.6,S,6.4,SSW,967.5,0.0,0.0,291
1/6/2023,9:30,23.3,23.3,20.4,54,14.1,1.6,SSW,6.4,S,967.4,0.0,0.0,477
1/6/2023,10:00,22.8,23.4,22.8,51,13.0,6.4,S,20.9,S,967.1,0.0,0.0,582
1/6/2023,10:30,22.8,23.1,22.4,50,12.8,8.0,S,19.3,SSE,967.1,0.0,0.0,583
1/6/2023,11:00,23.1,23.2,22.4,52,13.5,8.0,S,20.9,SE,967.1,0.0,0.0,588
1/6/2023,11:30,22.8,23.2,22.8,51,13.0,8.0,SSW,24.1,S,967.1,0.0,0.0,641
1/6/2023,12:00,23.6,23.6,22.7,50,13.6,8.0,S,22.5,S,967.0,0.0,0.0,565
1/6/2023,12:30,24.7,24.7,23.4,47,14.1,6.4,SSW,19.3,SSW,966.8,0.0,0.0,881
1/6/2023,13:00,24.6,25.3,24.5,45,13.6,8.0,S,17.7,S,966.5,0.0,0.0,793
1/6/2023,13:30,25.8,25.9,23.9,44,14.6,4.8,SSW,12.9,S,966.2,0.0,0.0,851
1/6/2023,14:00,24.2,26.0,24.2,58,15.8,8.0,S,22.5,S,966.2,0.0,0.0,306
1/6/2023,14:30,19.9,24.2,19.9,72,14.3,4.8,NE,17.7,SSE,966.3,0.0,0.0,95
1/6/2023,15:00,18.7,20.0,18.6,74,13.5,6.4,NE,16.1,NE,966.1,0.2,0.0,66
1/6/2023,15:30,18.1,18.7,18.1,76,13.3,4.8,NNE,12.9,E,965.7,0.2,0.0,71
1/6/2023,16:00,18.0,18.2,17.7,69,11.8,9.7,NNE,25.7,ENE,965.9,0.0,0.0,123
1/6/2023,16:30,18.6,18.6,18.0,63,11.2,11.3,NNE,19.3,ENE,965.7,0.0,0.0,220
1/6/2023,17:00,19.5,19.5,18.6,63,12.1,6.4,NNE,20.9,NE,965.6,0.0,0.0,322
1/6/2023,17:30,19.9,20.2,19.4,62,12.3,3.2,SSW,11.3,SSW,965.6,0.0,0.0,190
1/6/2023,18:00,20.8,20.8,19.8,60,12.8,1.6,NNW,6.4,N,965.6,0.0,0.0,183
1/6/2023,18:30,21.2,21.2,20.8,62,13.6,1.6,SSW,9.7,NNW,965.6,0.0,0.0,145
1/6/2023,19:00,20.7,21.2,20.7,64,13.5,1.6,SSW,8.0,SW,965.7,0.0,0.0,81
1/6/2023,19:30,20.0,20.7,20.0,66,13.2,1.6,SSW,8.0,SSW,965.7,0.0,0.0,48
1/6/2023,20:00,19.7,20.0,19.6,67,13.1,0.0,WSW,4.8,SW,965.7,0.0,0.0,30
1/6/2023,20:30,18.2,19.7,18.2,74,13.0,3.2,NNE,8.0,NNE,965.6,0.0,0.0,12
1/6/2023,21:00,17.0,18.2,17.0,77,12.4,4.8,NE,11.3,NE,965.5,0.0,0.0,0
1/6/2023,21:30,16.6,17.0,16.6,78,12.2,8.0,NE,12.9,ENE,965.6,0.0,0.0,0
1/6/2023,22:00,16.5,16.6,16.4,78,12.1,4.8,NNE,12.9,NE,965.8,0.0,0.0,0
1/6/2023,22:30,16.0,16.6,16.0,81,12.2,4.8,NNE,9.7,NNE,965.7,0.0,0.0,0
1/6/2023,23:00,15.9,16.1,15.8,81,12.1,8.0,NNE,12.9,NNE,965.7,0.0,0.0,0
1/6/2023,23:30,15.9,16.0,15.9,82,12.3,1.6,NNE,9.7,NE,965.7,0.0,0.0,0
2/6/2023,0:00,15.5,15.9,15.4,83,12.1,1.6,NE,8.0,E,965.6,0.0,0.0,0
2/6/2023,0:30,15.2,15.4,15.2,85,12.2,0.0,SSW,4.8,NE,965.7,0.0,0.0,0
2/6/2023,1:00,15.0,15.2,14.9,86,12.2,1.6,NE,11.3,ENE,965.6,0.0,0.0,0
2/6/2023,1:30,14.5,15.0,14.5,86,11.7,0.0,S,3.2,SE,965.4,0.0,0.0,0
2/6/2023,2:00,14.2,14.6,14.2,86,11.4,0.0,SSE,3.2,SSE,965.3,0.0,0.0,0
2/6/2023,2:30,13.9,14.2,13.9,88,11.5,0.0,SSE,1.6,SSE,965.4,0.0,0.0,0
2/6/2023,3:00,13.7,14.0,13.6,89,11.5,0.0,SSE,1.6,SSE,965.3,0.0,0.0,0
2/6/2023,3:30,13.5,13.7,13.4,91,11.7,1.6,ENE,4.8,SSE,965.2,0.0,0.0,0
2/6/2023,4:00,13.3,13.5,13.3,91,11.5,0.0,ESE,3.2,E,965.1,0.0,0.0,0
2/6/2023,4:30,12.9,13.3,12.8,90,10.9,0.0,SSW,3.2,SSW,965.0,0.0,0.0,0
2/6/2023,5:00,12.9,13.0,12.8,91,11.1,0.0,SSW,0.0,SSW,965.0,0.0,0.0,0
2/6/2023,5:30,13.1,13.2,12.9,88,10.7,0.0,SSW,4.8,S,965.1,0.0,0.0,0
2/6/2023,6:00,13.2,13.2,12.8,90,11.2,0.0,S,4.8,SSW,965.1,0.0,0.0,6
2/6/2023,6:30,13.2,13.3,13.2,89,11.0,1.6,S,4.8,S,965.4,0.0,0.0,26
2/6/2023,7:00,13.2,13.2,13.1,90,11.2,1.6,S,4.8,S,965.5,0.0,0.0,45
2/6/2023,7:30,13.7,13.7,13.1,91,11.9,0.0,SSW,4.8,SSW,965.4,0.0,0.0,83
2/6/2023,8:00,14.5,14.5,13.7,88,12.1,0.0,SSW,3.2,S,965.3,0.0,0.0,112
2/6/2023,8:30,17.1,17.1,14.5,81,13.3,0.0,SSW,0.0,S,965.4,0.0,0.0,205
2/6/2023,9:00,20.7,20.7,17.1,70,14.7,1.6,N,4.8,SSW,965.4,0.0,0.0,401
2/6/2023,9:30,22.2,22.3,20.7,64,15.0,1.6,SSW,4.8,SSW,965.3,0.0,0.0,474
2/6/2023,10:00,22.6,22.9,22.2,63,15.2,1.6,SSW,8.0,N,965.2,0.0,0.0,558
2/6/2023,10:30,23.4,23.6,22.3,57,14.8,3.2,S,9.7,S,965.1,0.0,0.0,633
2/6/2023,11:00,24.1,24.3,23.4,55,15.1,3.2,SSW,11.3,S,965.0,0.0,0.0,705
2/6/2023,11:30,24.4,24.7,24.1,53,15.0,4.8,SSW,14.5,S,965.1,0.0,0.0,764
2/6/2023,12:00,25.6,25.6,24.5,49,15.4,4.8,SSW,17.7,S,964.9,0.0,0.0,823
2/6/2023,12:30,26.4,26.4,25.6,47,15.8,3.2,SSW,14.5,S,964.6,0.0,0.0,871
2/6/2023,13:00,26.7,26.8,26.2,43,15.3,4.8,SSW,16.1,SW,964.5,0.0,0.0,921
2/6/2023,13:30,27.1,27.1,26.6,43,15.7,4.8,SSW,14.5,S,964.2,0.0,0.0,751
2/6/2023,14:00,25.8,27.1,25.7,47,15.2,4.8,SSW,19.3,S,964.0,0.0,0.0,317
2/6/2023,14:30,20.7,25.8,20.7,58,12.3,12.9,N,38.6,NNW,964.5,0.0,0.0,243
2/6/2023,15:00,16.6,20.7,16.6,77,12.0,17.7,N,37.0,N,964.5,6.0,53.6,47
2/6/2023,15:30,16.3,16.5,15.7,82,12.7,14.5,NNE,24.1,NNE,964.3,1.2,29.0,78
2/6/2023,16:00,17.7,17.7,16.3,74,12.5,9.7,NE,25.7,NE,964.0,0.2,0.8,136
2/6/2023,16:30,18.3,18.3,17.4,72,12.7,8.0,NNE,16.1,NNE,963.8,0.0,0.0,207
2/6/2023,17:00,18.8,19.0,18.3,72,13.2,8.0,NNE,16.1,N,963.7,0.0,0.0,237
2/6/2023,17:30,20.6,20.6,18.8,69,14.4,3.2,NNE,11.3,NE,963.9,0.0,0.0,221
2/6/2023,18:00,21.7,21.7,20.7,63,14.3,3.2,S,8.0,SSW,963.9,0.0,0.0,191
2/6/2023,18:30,21.9,22.2,21.7,64,14.7,1.6,SSW,6.4,S,964.0,0.0,0.0,137
2/6/2023,19:00,21.6,21.9,21.4,65,14.6,1.6,SSW,6.4,SSW,963.9,0.0,0.0,83
2/6/2023,19:30,19.1,21.6,19.1,75,14.1,4.8,NE,11.3,ENE,964.3,0.0,0.0,35
2/6/2023,20:00,18.2,19.1,18.2,78,13.8,8.0,NE,12.9,NNE,964.5,0.0,0.0,14
2/6/2023,20:30,17.6,18.2,17.6,75,12.6,11.3,NE,17.7,ENE,964.4,0.0,0.0,6
2/6/2023,21:00,17.4,17.5,17.3,74,12.2,11.3,NNE,19.3,NE,964.4,0.0,0.0,0
2/6/2023,21:30,16.8,17.4,16.8,76,12.0,6.4,NNE,14.5,NE,964.6,0.0,0.0,0
2/6/2023,22:00,16.8,16.9,16.8,76,12.0,8.0,NNE,14.5,ENE,964.7,0.0,0.0,0
2/6/2023,22:30,16.8,16.8,16.6,78,12.4,4.8,NNE,11.3,NE,964.8,0.0,0.0,0
2/6/2023,23:00,16.4,16.8,16.4,79,12.2,6.4,NE,11.3,NNE,965.2,0.0,0.0,0
2/6/2023,23:30,16.3,16.4,16.2,80,12.3,6.4,NE,14.5,NNE,965.6,0.0,0.0,0
3/6/2023,0:00,16.0,16.2,15.9,83,12.6,3.2,NNE,11.3,NNE,965.6,0.0,0.0,0
3/6/2023,0:30,15.7,16.2,15.7,85,12.7,1.6,NE,8.0,NE,965.7,0.0,0.0,0
3/6/2023,1:00,15.4,15.7,15.4,86,12.6,1.6,NE,6.4,NNE,965.3,0.0,0.0,0
3/6/2023,1:30,15.4,15.6,15.3,86,12.6,3.2,NE,8.0,NE,965.3,0.0,0.0,0
3/6/2023,2:00,15.1,15.4,15.1,87,12.5,1.6,SSE,6.4,NE,965.5,0.0,0.0,0
3/6/2023,2:30,14.6,15.1,14.6,88,12.2,0.0,E,4.8,S,965.5,0.0,0.0,0
3/6/2023,3:00,14.3,14.6,14.3,90,12.3,0.0,NE,3.2,SSW,965.7,0.0,0.0,0
3/6/2023,3:30,14.6,14.7,14.3,89,12.4,1.6,N,4.8,SSE,965.7,0.0,0.0,0
3/6/2023,4:00,14.1,14.6,14.0,90,12.1,1.6,SSW,4.8,SSW,965.6,0.0,0.0,0
3/6/2023,4:30,13.7,14.0,13.7,91,11.9,0.0,S,1.6,S,965.6,0.0,0.0,0
3/6/2023,5:00,13.6,13.7,13.6,91,11.8,0.0,E,4.8,ENE,965.6,0.0,0.0,0
3/6/2023,5:30,13.7,13.7,13.6,92,12.1,0.0,E,0.0,ENE,965.6,0.0,0.0,0
3/6/2023,6:00,13.7,13.7,13.6,92,12.1,0.0,ESE,3.2,E,965.8,0.0,0.0,6
3/6/2023,6:30,13.3,13.7,13.3,91,11.5,0.0,S,3.2,ESE,965.7,0.0,0.0,17
3/6/2023,7:00,13.1,13.3,13.1,92,11.5,0.0,S,4.8,S,965.7,0.0,0.0,26
3/6/2023,7:30,13.6,13.6,13.1,92,12.0,0.0,SW,3.2,SW,965.9,0.0,0.0,34
3/6/2023,8:00,15.8,15.8,13.6,86,13.0,1.6,NNE,6.4,NNE,966.1,0.0,0.0,141
3/6/2023,8:30,18.2,18.2,15.8,80,14.2,1.6,NE,4.8,ENE,966.1,0.0,0.0,303
3/6/2023,9:00,21.1,21.1,18.3,72,15.5,1.6,SSW,4.8,SSW,966.2,0.0,0.0,399
3/6/2023,9:30,23.0,23.0,21.1,65,16.0,3.2,SSW,9.7,SSW,966.0,0.0,0.0,482
3/6/2023,10:00,23.6,24.0,23.0,63,16.2,3.2,SSW,9.7,S,966.1,0.0,0.0,585
3/6/2023,10:30,25.2,25.2,23.6,57,16.6,3.2,S,9.7,SSW,966.2,0.0,0.0,670
3/6/2023,11:00,25.2,25.3,24.8,56,16.4,3.2,SSW,9.7,SSW,966.1,0.0,0.0,665
3/6/2023,11:30,25.7,25.7,25.2,55,16.7,1.6,SW,11.3,SSW,966.2,0.0,0.0,686
3/6/2023,12:00,24.9,25.8,24.6,56,16.1,3.2,SSW,12.9,ESE,966.1,0.0,0.0,305
3/6/2023,12:30,25.1,25.6,24.9,54,15.9,3.2,NW,11.3,NNW,966.0,0.0,0.0,655
3/6/2023,13:00,23.0,25.2,23.0,59,14.8,6.4,NNW,16.1,ENE,966.1,0.0,0.0,364
3/6/2023,13:30,25.1,25.1,22.8,52,15.5,4.8,NNE,14.5,NE,965.6,0.0,0.0,930
3/6/2023,14:00,24.8,25.4,24.8,52,15.2,4.8,NNW,12.9,N,965.5,0.0,0.0,400
3/6/2023,14:30,22.8,24.8,22.8,60,14.8,4.8,NNW,12.9,NNE,965.5,0.0,0.0,102
3/6/2023,15:00,22.1,23.1,22.1,65,15.1,4.8,ESE,19.3,SE,965.9,0.0,0.0,238
3/6/2023,15:30,17.9,22.1,17.9,73,12.5,12.9,ESE,38.6,ESE,966.3,0.0,0.0,49
3/6/2023,16:00,15.9,18.2,15.9,82,12.3,8.0,NE,29.0,E,967.6,15.6,89.4,8
3/6/2023,16:30,15.0,15.9,14.4,83,11.6,14.5,NNE,33.8,NNE,967.7,6.4,67.8,9
3/6/2023,17:00,15.4,15.5,15.0,86,12.6,12.9,NE,30.6,NNE,967.4,0.6,1.6,6
3/6/2023,17:30,16.0,16.0,15.2,83,12.6,6.4,NE,24.1,ENE,967.1,0.4,1.4,13
3/6/2023,18:00,16.3,16.6,16.0,85,13.3,9.7,NNE,24.1,NNE,967.0,0.0,0.0,35
3/6/2023,18:30,15.9,16.3,15.7,90,13.9,1.6,NNW,6.4,ESE,967.4,0.0,0.0,68
3/6/2023,19:00,15.4,15.9,15.4,88,13.0,4.8,NNE,12.9,NNE,967.4,0.0,0.0,58
3/6/2023,19:30,16.0,16.0,15.3,86,13.2,6.4,NNE,12.9,ENE,967.7,0.0,0.0,36
3/6/2023,20:00,15.8,16.1,15.7,88,13.4,3.2,NNE,8.0,NE,968.1,0.0,0.0,18
3/6/2023,20:30,15.7,15.9,15.6,89,13.5,1.6,NNE,6.4,NNW,968.2,0.0,0.0,5
3/6/2023,21:00,15.3,15.7,15.3,89,13.1,3.2,NE,12.9,NNE,968.0,0.0,0.0,0
3/6/2023,21:30,15.1,15.4,15.1,89,12.9,4.8,NNE,11.3,ENE,968.1,0.0,0.0,0
3/6/2023,22:00,14.9,15.1,14.9,88,12.5,4.8,NE,9.7,NNE,968.2,0.0,0.0,0
3/6/2023,22:30,14.8,14.9,14.8,89,12.6,3.2,NE,8.0,NE,968.1,0.0,0.0,0
3/6/2023,23:00,14.7,14.9,14.7,89,12.5,1.6,NNE,8.0,NNE,968.2,0.0,0.0,0
3/6/2023,23:30,14.7,14.8,14.6,90,12.7,1.6,NE,6.4,NE,968.4,0.0,0.0,0
4/6/2023,0:00,14.7,14.8,14.7,89,12.5,1.6,NNE,8.0,NE,968.5,0.0,0.0,0
4/6/2023,0:30,14.4,14.7,14.3,88,12.0,3.2,NNE,11.3,ENE,968.5,0.0,0.0,0
4/6/2023,1:00,14.3,14.4,14.1,89,12.1,3.2,ENE,8.0,NE,968.6,0.0,0.0,0
4/6/2023,1:30,14.4,14.4,14.3,89,12.2,1.6,NNE,8.0,NE,968.5,0.0,0.0,0
4/6/2023,2:00,14.2,14.4,14.2,89,12.0,1.6,NE,6.4,N,968.2,0.0,0.0,0
4/6/2023,2:30,13.6,14.2,13.6,91,11.8,0.0,ESE,4.8,S,967.9,0.0,0.0,0
4/6/2023,3:00,12.9,13.6,12.9,93,11.5,1.6,ESE,3.2,ESE,967.9,0.0,0.0,0
4/6/2023,3:30,12.8,12.9,12.8,93,11.4,0.0,ENE,3.2,SE,968.0,0.0,0.0,0
4/6/2023,4:00,12.6,12.8,12.6,93,11.2,0.0,SSE,3.2,SSE,968.0,0.0,0.0,0
4/6/2023,4:30,12.3,12.6,12.2,94,11.1,0.0,E,3.2,E,967.9,0.0,0.0,0
4/6/2023,5:00,12.2,12.3,12.2,94,11.0,0.0,E,1.6,E,967.7,0.0,0.0,0
4/6/2023,5:30,11.9,12.2,11.9,94,10.7,0.0,E,3.2,E,967.8,0.0,0.0,0
4/6/2023,6:00,11.9,12.1,11.9,95,10.9,0.0,SSE,3.2,SSE,967.7,0.0,0.0,7
4/6/2023,6:30,11.9,11.9,11.8,95,10.9,0.0,SSE,1.6,SSE,967.8,0.0,0.0,16
4/6/2023,7:00,12.1,12.1,11.9,95,11.1,0.0,SSE,3.2,SSE,967.8,0.0,0.0,28
4/6/2023,7:30,12.4,12.5,12.1,95,11.4,0.0,SSE,3.2,SSE,967.7,0.0,0.0,57
4/6/2023,8:00,13.2,13.2,12.4,96,12.4,0.0,SSE,3.2,SE,968.0,0.0,0.0,114
4/6/2023,8:30,16.4,16.4,13.2,96,15.6,0.0,SE,1.6,SE,968.1,0.0,0.0,250
4/6/2023,9:00,20.2,20.2,16.4,76,15.4,0.0,W,1.6,SSW,968.5,0.0,0.0,393
4/6/2023,9:30,22.1,22.1,20.2,67,15.5,1.6,N,6.4,SSW,968.7,0.0,0.0,491
4/6/2023,10:00,23.6,23.6,22.1,63,16.2,1.6,SSW,6.4,S,968.6,0.0,0.0,518
4/6/2023,10:30,22.8,23.7,22.7,68,16.4,1.6,S,9.7,S,968.7,0.0,0.0,571
4/6/2023,11:00,23.4,23.5,22.6,64,16.2,1.6,SSW,8.0,S,968.5,0.0,0.0,520
4/6/2023,11:30,24.1,24.1,23.3,61,16.3,4.8,SSW,12.9,S,968.6,0.0,0.0,733
4/6/2023,12:00,24.3,24.6,24.1,57,15.7,3.2,SW,8.0,SSW,968.8,0.0,0.0,701
4/6/2023,12:30,24.7,24.7,24.3,56,15.9,3.2,SSW,16.1,SSE,968.8,0.0,0.0,842
4/6/2023,13:00,24.9,25.0,24.4,55,15.9,4.8,SSW,14.5,S,968.5,0.0,0.0,793
4/6/2023,13:30,25.5,25.6,24.9,48,15.1,3.2,SSW,12.9,SSW,968.2,0.0,0.0,697
4/6/2023,14:00,25.6,25.7,25.4,45,14.6,3.2,SSW,11.3,S,968.1,0.0,0.0,604
4/6/2023,14:30,25.2,25.7,25.1,46,14.4,4.8,SSW,16.1,S,968.1,0.0,0.0,471
4/6/2023,15:00,25.5,25.5,24.7,44,14.3,6.4,SSW,16.1,S,967.8,0.0,0.0,649
4/6/2023,15:30,25.8,26.0,25.4,37,13.2,4.8,SSW,14.5,SSW,967.9,0.0,0.0,663
4/6/2023,16:00,25.2,25.8,25.2,44,14.0,3.2,SSW,11.3,SSW,967.8,0.0,0.0,293
4/6/2023,16:30,24.3,25.2,24.3,49,14.1,4.8,SSW,12.9,S,967.6,0.0,0.0,225
4/6/2023,17:00,23.4,24.3,23.4,54,14.2,6.4,SSW,16.1,S,967.4,0.0,0.0,203
4/6/2023,17:30,23.1,23.4,23.0,57,14.5,6.4,S,16.1,SSW,967.4,0.0,0.0,187
4/6/2023,18:00,22.6,23.1,22.6,59,14.4,4.8,SSW,11.3,SSW,967.4,0.0,0.0,117
4/6/2023,18:30,21.0,22.6,21.0,65,14.0,4.8,SSW,41.8,SSW,968.4,0.0,0.0,41
4/6/2023,19:00,15.9,20.9,15.9,82,12.3,16.1,NE,46.7,N,968.6,2.4,23.0,8
4/6/2023,19:30,15.5,16.0,15.4,83,12.1,16.1,NE,33.8,NE,968.2,2.4,11.0,9
4/6/2023,20:00,15.6,15.6,15.3,83,12.2,12.9,NNE,25.7,NNE,968.2,0.8,3.2,14
4/6/2023,20:30,15.3,15.6,15.3,89,13.1,1.6,S,17.7,NE,967.9,0.2,1.2,5
4/6/2023,21:00,15.2,15.3,15.1,90,13.2,1.6,NE,9.7,S,968.3,0.0,0.0,0
4/6/2023,21:30,15.0,15.2,15.0,90,13.0,1.6,ENE,6.4,N,968.7,0.4,1.0,0
4/6/2023,22:00,14.9,15.0,14.9,91,13.1,1.6,S,6.4,S,968.7,0.6,1.6,0
4/6/2023,22:30,14.8,14.9,14.8,92,13.2,1.6,SSW,6.4,SSW,968.7,0.4,1.2,0
4/6/2023,23:00,15.0,15.1,14.7,92,13.4,1.6,SSW,8.0,NNE,968.3,0.0,0.0,0
4/6/2023,23:30,14.8,15.0,14.8,93,13.4,1.6,S,6.4,SSW,968.5,0.0,0.0,0
5/6/2023,0:00,14.9,14.9,14.7,92,13.3,4.8,NNE,17.7,NNE,968.5,1.6,8.6,0
5/6/2023,0:30,14.7,14.9,14.7,93,13.3,3.2,SSW,9.7,S,968.3,0.2,1.8,0
5/6/2023,1:00,14.7,14.7,14.7,93,13.3,1.6,S,6.4,S,968.2,0.2,0.8,0
5/6/2023,1:30,14.8,14.8,14.7,92,13.2,1.6,S,8.0,NNW,967.7,0.4,1.0,0
5/6/2023,2:00,15.1,15.2,14.8,90,13.1,9.7,NNE,17.7,NNE,967.5,0.2,0.8,0
5/6/2023,2:30,14.8,15.1,14.8,92,13.2,0.0,S,4.8,S,967.5,0.0,0.0,0
5/6/2023,3:00,14.7,14.9,14.6,91,12.9,3.2,NE,11.3,ENE,967.4,0.0,0.0,0
5/6/2023,3:30,14.7,14.8,14.6,92,13.1,1.6,NNE,4.8,ESE,967.3,0.2,0.0,0
5/6/2023,4:00,14.7,14.7,14.6,92,13.1,0.0,SSW,3.2,E,966.9,0.0,0.0,0
5/6/2023,4:30,14.5,14.7,14.5,93,13.1,0.0,SSW,4.8,SSW,966.8,0.0,0.0,0
5/6/2023,5:00,14.4,14.6,14.4,93,13.0,0.0,ENE,3.2,SE,966.7,0.0,0.0,0
5/6/2023,5:30,14.4,14.5,14.3,92,12.8,0.0,ENE,4.8,NE,966.4,0.0,0.0,0
5/6/2023,6:00,14.6,14.6,14.3,94,13.4,0.0,SW,3.2,WSW,966.7,0.0,0.0,6
5/6/2023,6:30,14.6,14.7,14.5,94,13.4,0.0,ESE,3.2,WNW,966.5,0.0,0.0,27
5/6/2023,7:00,15.1,15.1,14.6,93,13.7,0.0,WSW,1.6,SE,966.6,0.0,0.0,50
5/6/2023,7:30,15.1,15.2,15.0,92,13.5,0.0,WSW,3.2,NNE,966.7,0.0,0.0,49
5/6/2023,8:00,15.4,15.4,15.1,91,13.6,3.2,S,6.4,S,966.9,0.0,0.0,86
5/6/2023,8:30,15.4,15.5,15.4,92,13.8,4.8,S,9.7,S,967.1,0.0,0.0,56
5/6/2023,9:00,15.2,15.4,15.2,93,13.8,3.2,S,6.4,S,967.2,2.8,15.4,41
5/6/2023,9:30,15.4,15.4,15.2,94,14.2,3.2,S,8.0,E,967.3,0.2,2.4,86
5/6/2023,10:00,15.4,15.5,15.3,93,14.0,3.2,S,9.7,S,967.3,0.4,2.4,66
5/6/2023,10:30,15.6,15.6,15.3,92,14.0,3.2,E,11.3,ESE,967.4,0.2,0.0,104
5/6/2023,11:00,16.0,16.0,15.6,90,14.0,3.2,NE,11.3,E,967.2,0.0,0.0,174
5/6/2023,11:30,16.9,16.9,16.1,88,14.5,3.2,NE,9.7,E,967.1,0.0,0.0,265
5/6/2023,12:00,17.6,17.6,16.9,86,14.8,3.2,NE,9.7,E,967.0,0.0,0.0,205
5/6/2023,12:30,19.2,19.2,17.6,83,15.8,4.8,S,14.5,SSE,966.8,0.0,0.0,383
5/6/2023,13:00,19.6,19.9,19.2,80,15.6,4.8,SSW,16.1,S,966.6,0.0,0.0,423
5/6/2023,13:30,19.9,19.9,19.6,76,15.1,6.4,SSW,16.1,SSW,966.4,0.0,0.0,229
5/6/2023,14:00,21.2,21.2,19.9,73,15.8,6.4,SSW,25.7,S,966.1,0.0,0.0,332
5/6/2023,14:30,21.6,21.8,21.2,68,15.2,8.0,S,22.5,S,965.9,0.0,0.0,585
5/6/2023,15:00,21.2,21.6,21.2,69,15.0,9.7,SSW,24.1,S,965.9,0.0,0.0,368
5/6/2023,15:30,21.0,21.5,21.0,71,15.2,9.7,SSW,25.7,SSW,966.1,0.0,0.0,354
