Data,Ora,Temp,Min,Max,Umid,Dew pt,Vento,Dir,Raffica,Dir Raff.,Press,Pioggia,Int.Pio.,Rad.Sol.
21/12/2023,10:00,8.8,9.2,8.3,60,0.8,1.6,SSW,4.8,SSW,965.5,0.0,0.0,235
21/12/2023,10:30,10.8,10.8,8.9,52,1.2,0.0,SSW,3.2,SSW,965.3,0.0,0.0,311
4/12/2023,21:00,6.8,6.8,6.6,76,2.0,3.2,NE,12.9,E,969.4,0.0,0.0,0
br/>br/>6/12/2023,9:00,3.7,3.7,2.9,95,2.7,0.0,SW,3.2,SW,964.1,0.0,0.0,39
br/>24/12/2023,7:30,9.2,9.2,9.2,85,6.2,1.6,NW,12.9,NW,969.6,0.0,0.0,0
31/12/2023,11:30,9.9,9.9,9.7,82,6.3,4.8,S,14.5,S,970.5,0.0,0.0,71
4/12/20224/12/2023,8:30,9.3,9.3,9.2,84,6.1,0.0,WNW,6.4,WNW,970.0,0.0,0.0,17
/>31/12/2023,12:30,10.1,10.2,10.1,84,6.9,6.4,S,19.3,S,969.3,0.0,0.0,35
/>31/12/2023,13:00,10.1,10.1,10.0,87,7.5,3.2,S,9.7,S,969.0,0.6,7.8,28
br/>24/12/2023,9:00,9.4,9.4,9.3,84,6.2,1.6,WNW,4.8,NW,970.3,0.0,0.0,24
5/12/2023,0:00,6.7,6.7,6.6,74,1.5,1.6,ENE,8.0,ENE,967.8,0.0,0.0,0
r/>>24/12/2023,9:30,9.4,9.4,9.3,85,6.4,0.0,SSW,4.8,SSW,970.8,0.0,0.0,24
br/>5/12/2023,1:00,6.9,6.9,6.9,71,1.1,3.2,E,14.5,E,967.0,0.0,0.0,0
<b24/12/2023,10:00,9.6,9.6,9.4,84,6.4,1.6,SW,12.9,S,971.2,0.0,0.0,46
12/205/12/2023,2:00,7.0,7.3,7.0,69,0.8,4.8,ESE,12.9,E,966.5,0.0,0.0,0
r/>24/12/2023,10:30,9.8,9.8,9.6,83,6.4,4.8,SSW,14.5,SSW,971.6,0.0,0.0,57
/>24/12/2023,11:00,10.0,10.1,9.7,83,6.6,3.2,SW,19.3,S,971.6,0.0,0.0,62
<b5/131/12/2022/12/2023,0:00,6.2,6.2,6.0,88,3.8,4.8,SSW,22.5,SSW,959.2,0.0,0.0,0
24/22/12/2023,2:30,6.9,6.9,6.6,89,4.7,6.4,S,19.3,SW,958.0,0.0,0.0,0
6/12/22/12/2023,3:00,7.0,7.0,6.8,88,4.6,3.2,S,14.5,SSE,957.7,0.0,0.0,0
<b6/12/202322/12/2023,3:30,7.2,7.2,7.0,88,4.8,3.2,E,11.3,ESE,957.3,0.0,0.0,0
23,4:30,7.4,7.4,7.3,87,4.8,1.6,S,14.5,S,956.9,0.0,0.0,0
<b5/12/2023,13:30,7.4,7.6,7.4,84,4.2,1.6,S,4.8,S,961.2,0.0,0.0,50
<br22/12/2023,6:30,7.6,7.7,7.6,87,5.0,1.6,SSW,11.3,S,956.7,0.0,0.0,0
/>7/12/2023,2:30,1.6,1.6,1.4,93,0.2,0.0,N,3.2,NE,969.1,0.0,0.0,0
r/>24/12/2023,18:00,10.2,10.4,10.2,82,6.6,1.6,SSW,4.8,S,971.0,0.0,0.0,0
24/127/12/2023,4:30,0.9,1.7,0.9,93,-0.5,0.0,SSW,3.2,SSW,969.8,0.0,0.0,0
<br5/12/7/12/2023,5:00,0.8,1.0,0.8,94,-0.4,0.0,ESE,4.8,NNE,970.1,0.0,0.0,0
23,6:30,0.6,0.7,0.4,95,-0.4,1.6,SSW,4.8,S,970.6,0.0,0.0,0
24/12/2023,22:30,9.6,9.6,9.4,82,6.0,0.0,SSW,6.4,SSE,972.4,0.0,0.0,0
br/>/>7/12/2023,9:30,1.2,1.2,0.6,95,0.2,0.0,SSW,1.6,SSW,971.9,0.0,0.0,101
7/12/2023,10:00,2.1,2.1,1.2,95,1.1,0.0,SSW,0.0,SSW,972.0,0.0,0.0,118
023,20:30,8.2,8.5,8.2,83,4.8,1.6,NE,6.4,NNE,959.5,0.0,0.0,0
25/12/2023,5:00,9.1,9.2,9.1,81,5.3,0.0,SSW,4.8,SSW,972.1,0.0,0.0,0
225/12/2023,5:30,9.1,9.1,9.1,81,5.3,0.0,S,4.8,SSW,972.1,0.0,0.0,0
22/12/2023,22:00,8.2,8.2,7.8,84,5.0,3.2,ENE,8.0,E,960.2,0.0,0.0,0
22/12/2023,22:30,8.2,8.3,8.1,84,5.0,1.6,NE,8.0,NE,960.7,0.0,0.0,0
>6/12/2023,6:00,2.6,2.8,2.5,94,1.4,0.0,SSW,4.8,SSW,962.9,0.0,0.0,0
/>7/12/23/12/2023,0:00,8.2,8.6,8.2,85,5.2,1.6,ENE,6.4,NE,961.3,0.0,0.0,0
7/12/23/12/2023,0:30,7.9,8.2,7.9,86,5.1,1.6,NE,8.0,E,961.2,0.0,0.0,0
5/12/2023,8:30,9.1,9.1,8.9,79,4.9,1.6,SSW,6.4,NE,972.3,0.0,0.0,11
<br7/25/12/2023,9:00,9.2,9.2,9.1,79,5.0,0.0,ENE,3.2,ENE,972.5,0.0,0.0,21
23/1225/12/2023,9:30,9.3,9.3,9.2,78,4.9,1.6,S,8.0,SSE,972.7,0.0,0.0,33
/2023,7:00,2.4,2.4,2.3,94,1.2,0.0,S,4.8,S,963.1,0.0,0.0,0
6/12/2023,8:00,2.9,2.9,2.6,95,1.9,0.0,S,4.8,S,963.7,0.0,0.0,6
r/>>7/12/2023,23:00,1.4,1.7,1.4,90,-0.6,0.0,SSE,0.0,S,973.7,0.0,0.0,0
<br/67/12/2023,23:30,0.7,1.4,0.7,89,-1.5,0.0,SSW,4.8,S,973.5,0.0,0.0,0
<br/23/12/208/12/2023,0:00,-0.3,0.7,-0.4,91,-2.1,0.0,S,4.8,S,973.1,0.0,0.0,0
3/12/2023,5:30,7.3,7.6,7.2,87,4.7,1.6,ESE,8.0,E,962.2,0.0,0.0,0
<b6/1225/12/2023,12:00,10.0,10.1,9.8,78,5.6,1.6,SSW,8.0,SSW,972.5,0.0,0.0,55
